location_id,location_name,lat,lon,geo_source
3f8aed41-a707-4454-b61b-3eb2c69ec9ea,Fairfield Inn,41.8911139,-87.6299868,nominatim
ad1fcf8e-54cf-4c6d-b30b-56716f9de35c,Fairfield Inn,41.8911139,-87.6299868,nominatim
16222053-b164-48ad-86b2-d90b4f45dacb,Fairmont,41.8861188,-87.6210458,nominatim
b30e7e7a-9999-4a0b-91d5-d2035a4ebe93,Fashion Outlets of Chicago,41.9750415,-87.8670551,firecrawl+nominatim_name
5bb072e4-f584-4060-9ea3-a298c4484596,Field Museum of Natural History,41.8662215,-87.6168913,nominatim
b7849405-a2a4-475d-8129-81f9191b3300,Flight Club,41.8866194,-87.6312554,nominatim
5e91b706-eae2-4e5e-8ae3-085bc517de57,Flyover Chicago,41.8919035,-87.6090681,nominatim
58c6c442-eff7-40e3-ab21-589ecb0319c9,Fogo de Chao,41.8942563,-87.6321226,nominatim
363cebe0-f000-46b9-80ba-e3df5a748896,Fora,41.8871942,-87.6519478,nominatim
cfd1b838-43d3-4489-aa3a-13cd2dd03835,Found Chicago,41.9560758,-87.6933972,firecrawl+nominatim
9383a251-cbcd-48ff-a3a7-6cc85d70b7a2,Four Seasons,41.8996386,-87.6248842,nominatim
47318a7a-5aff-4d4d-9008-a63150b750c7,Freehand,41.8922477,-87.6273052,nominatim
496eb597-d0ef-4312-8cbc-e5c8a49de418,Gale,41.9511651,-87.726892,nominatim
61bfc9ff-2746-4485-977a-c1b6b1d66a92,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
8f0d5ae9-1531-4794-8e0b-8e12d53b318e,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
083c9dad-5d4b-4b3c-8802-d601dd515dad,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
49e46442-273f-4d1e-9f76-564b655261c6,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
20afa61a-69d3-4a31-a37a-4068108a7832,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
04262787-4b85-4d95-a301-c7b3b6068a6d,Garrett Popcorn Shops,41.8822271,-87.6274208,nominatim
5b6e548e-d108-4995-9f1a-4ad228819e21,Geja's Cafe,41.918593,-87.6380077,nominatim
69466b09-ac7c-4b96-b83e-11c91756b7f6,Goodman Theater Center,41.8849317,-87.6299331,known_address+nominatim
8c84468c-e58a-4eb7-acba-a9d1932f872a,Goose Island Taproom,41.8870058,-87.6722122,firecrawl+nominatim
bfb83e19-804b-456f-8edb-a722716ecee2,Grapes & Grains,41.8857633,-87.6496568,nominatim
4563ec56-276b-4e55-b02c-cf4036ae1c96,Greek Islands,41.8789853,-87.6475092,nominatim
2bafb42b-1910-4bdf-a8b6-ebfaebcaf543,Griffin Museum of Science & Industry,41.7911839,-87.5799813,known_address+nominatim
f9f32a6a-8280-4658-b26f-1591f7552f5c,"HI Chicago, the J. Ira and Nicki Harris Family Hostel",41.8755687,-87.6273124,firecrawl+nominatim
762fee73-00d8-411a-b65e-1d7c11d6bde2,Hampton Inn,41.8952518,-87.6229806,nominatim
79c73935-be40-401f-aa8c-c8956c93cc6d,Hampton Inn,41.8952518,-87.6229806,nominatim
43e97c98-e7c7-4f6c-8b71-0d4c2fd73fdd,Hampton Inn & Suites Chicago Medical District UIC,41.8728297,-87.6781505,nominatim
94382a2a-4917-44d0-ab63-ce6237df694d,Hampton Inn & Suites Chicago Medical District UIC,41.8728297,-87.6781505,nominatim
5403e57a-fb4b-4d5a-8aa8-80cc0f431167,Hampton Inn Chicago Downtown West Loop,41.8836291,-87.643003,firecrawl+nominatim
1b247e01-94a0-4a03-9afc-20bbd3401f92,Hampton Inn Homewood Suites,41.8952518,-87.6229806,firecrawl+nominatim
f616e347-ea50-452b-a39d-828a82589556,Hampton Majestic,41.8808622,-87.6285869,nominatim
c4e08b74-58c4-45cf-86e1-d17a3a3c5ea6,Harris Theater,41.8838877,-87.6219013,nominatim
e30a5d78-46be-4314-bf01-702c19b01610,Haymarket Memorial,41.8848807,-87.6441288,nominatim
2f1265f4-632e-41f8-a3f8-6334a120c627,Hilton Chicago,41.8803325,-87.6269504,nominatim
17ceefb6-a20a-4126-8004-e02a0065230a,Hilton Garden Inn,41.8525873,-87.6230421,nominatim
d9448803-c282-4ccd-91a6-ce94d1d2fdcc,Hilton Garden Inn,41.8525873,-87.6230421,nominatim
afd352e9-eb35-435d-b619-494b8f64a389,Hilton Garden Inn,41.8525873,-87.6230421,nominatim
8c1f57a0-ef66-484e-af4c-2440c7d1b4d1,Hilton Garden Inn/Hampton Inn/Home2 Suites,41.8525873,-87.6230421,nominatim
24163594-cce9-48af-887a-33b2b9f99c1a,Hilton Suites Chicago Mag Mile,41.8952458,-87.6233239,nominatim
5b81f334-a75b-4040-80c7-9d2f2089f419,Holiday Inn & Suites Chicago,41.8748726,-87.6399593,nominatim
49807a9e-2ffc-49a6-bb8f-5be0c67b9e5a,Holiday Inn Wolf Point,41.8881356,-87.6378473,nominatim
f514d869-ca42-49f6-83d0-eb64c4de33a7,Homewood Suites,41.8918965,-87.6262467,nominatim
8d560815-fdab-4531-be30-fa65f7595c5b,Homewood Suites Hilton Garden Inn,41.8693597,-87.6255929,firecrawl+nominatim
6887c2a9-8d97-4ae5-8c8d-4d3d5648ce91,Homewood Suites by Hilton Chicago Downtown West Loop,41.8849372,-87.6427704,firecrawl+nominatim
88460c5f-46f6-403e-bf64-d493b3084558,Hotel BnB,41.8652258,-87.6243448,nominatim
319023c3-0e26-4fcf-9f60-0cc0038ebb9e,Hotel Cass,41.8937434,-87.6270864,firecrawl+nominatim
e0b0de67-cf08-488e-b33a-9be0e0e9c71a,Hotel Chicago,41.8888632,-87.6264748,nominatim
7a563d54-ec86-402d-926c-916c80026b36,Hotel Chicago West Loop,41.8779517,-87.6677751,nominatim
315fc176-9cf0-43b2-a925-698e63c80dec,Hotel Felix,41.8946215,-87.6315484,nominatim
d6173528-96c2-4adb-a7b5-d59da0f920ed,Hotel Godfrey,41.8945777,-87.6321416,nominatim
bb6b095b-cdc7-49d3-a283-cd53caaedc4e,Hotel InterContinental,41.8913478,-87.623558,nominatim
1000e24d-559b-45b2-bb6f-e078555a8a6f,Howl at the Moon,41.8902485,-87.6291445,nominatim
7f27b473-2df0-4bfa-a7f5-f41117322754,Huntington Bank Pavilion,41.8633504,-87.6084927,nominatim
cad45d01-caf0-4813-8421-f966ff4c8763,Hyatt Centric,41.8937576,-87.6223591,nominatim
2e849575-3863-4e41-a89e-002bbbc81430,Hyatt Centric Mag Mile,41.8939959,-87.622591,manual+firecrawl
54f43a24-6df1-4701-9306-aeac712aebf4,Hyatt House Chicago / West Loop-Fulton Market,41.8832666,-87.6552347,nominatim
92ccb9c1-3fd2-4b19-9157-659af3f1c129,Hyatt Place,41.8001503,-87.5886098,nominatim
