config,ndcg,sim,popularity,item_collab,user_collab,trending,session
random,0.232273,0.176,0.077,0.071,0.462,0.108,0.106
random,0.23214,0.063,0.126,0.046,0.62,0.094,0.05
random,0.232122,0.127,0.281,0.121,0.343,0.072,0.056
random,0.232095,0.291,0.196,0.126,0.238,0.062,0.088
random,0.232039,0.362,0.28,0.08,0.21,0.046,0.024
random,0.231992,0.247,0.003,0.111,0.468,0.142,0.029
random,0.231965,0.336,0.042,0.076,0.463,0.082,0.002
random,0.231948,0.128,0.167,0.099,0.46,0.028,0.117
random,0.231899,0.492,0.303,0.045,0.156,0.001,0.004
random,0.231881,0.521,0.26,0.047,0.119,0.048,0.005
random,0.231871,0.307,0.018,0.055,0.537,0.071,0.012
random,0.231754,0.169,0.188,0.025,0.392,0.138,0.089
random,0.231713,0.473,0.255,0.125,0.086,0.008,0.053
random,0.231624,0.314,0.052,0.051,0.402,0.048,0.133
random,0.23158,0.124,0.346,0.025,0.387,0.028,0.089
random,0.231567,0.324,0.411,0.015,0.086,0.154,0.01
random,0.231498,0.383,0.061,0.178,0.299,0.059,0.019
random,0.231446,0.313,0.129,0.114,0.352,0.067,0.025
random,0.231433,0.287,0.193,0.054,0.283,0.122,0.061
random,0.231343,0.19,0.068,0.009,0.703,0.026,0.003
random,0.231337,0.376,0.082,0.009,0.46,0.044,0.029
random,0.23127,0.677,0.16,0.047,0.011,0.068,0.038
random,0.231248,0.468,0.104,0.206,0.163,0.056,0.003
random,0.231096,0.258,0.344,0.036,0.138,0.186,0.039
random,0.231066,0.428,0.168,0.108,0.234,0.027,0.035
random,0.231065,0.313,0.273,0.011,0.329,0.073,0.001
random,0.231018,0.194,0.467,0.183,0.046,0.058,0.052
random,0.230961,0.548,0.302,0.02,0.127,0.001,0.002
random,0.230858,0.744,0.002,0.039,0.191,0.023,0.002
random,0.230822,0.679,0.001,0.004,0.297,0.011,0.009
random,0.230781,0.54,0.267,0.042,0.062,0.028,0.06
random,0.23076,0.177,0.381,0.166,0.06,0.203,0.015
random,0.230723,0.267,0.387,0.177,0.072,0.066,0.031
random,0.230711,0.068,0.023,0.147,0.742,0.002,0.018
random,0.230703,0.146,0.028,0.042,0.672,0.102,0.01
random,0.230672,0.364,0.349,0.033,0.128,0.071,0.055
random,0.230671,0.531,0.366,0.015,0.029,0.052,0.008
random,0.230661,0.19,0.451,0.098,0.176,0.012,0.072
random,0.230608,0.389,0.052,0.015,0.439,0.01,0.095
random,0.230509,0.382,0.287,0.08,0.221,0.002,0.029
random,0.230502,0.328,0.094,0.167,0.372,0.026,0.014
random,0.230468,0.294,0.107,0.142,0.293,0.121,0.044
random,0.230435,0.166,0.294,0.038,0.322,0.145,0.037
random,0.230309,0.174,0.153,0.23,0.355,0.087,0.002
random,0.230304,0.199,0.02,0.003,0.456,0.094,0.228
random,0.230265,0.307,0.064,0.174,0.371,0.081,0.003
random,0.230247,0.84,0.006,0.015,0.079,0.03,0.03
random,0.230241,0.399,0.251,0.053,0.27,0.016,0.011
random,0.230231,0.35,0.054,0.189,0.26,0.145,0.002
random,0.23004,0.206,0.068,0.009,0.51,0.138,0.069
random,0.23,0.276,0.101,0.048,0.402,0.005,0.168
random,0.229996,0.324,0.114,0.141,0.275,0.09,0.056
random,0.229917,0.46,0.253,0.106,0.135,0.033,0.013
random,0.229914,0.298,0.395,0.219,0.009,0.009,0.07
random,0.229904,0.185,0.372,0.048,0.191,0.085,0.119
random,0.229899,0.206,0.494,0.013,0.176,0.104,0.007
random,0.229872,0.68,0.104,0.069,0.099,0.047,0.001
random,0.229861,0.514,0.01,0.032,0.375,0.006,0.063
random,0.229858,0.405,0.024,0.156,0.278,0.118,0.019
random,0.229841,0.15,0.023,0.023,0.511,0.116,0.177
random,0.229833,0.162,0.049,0.2,0.575,0.0,0.014
random,0.229806,0.619,0.217,0.081,0.031,0.035,0.017
random,0.22977,0.162,0.548,0.113,0.07,0.006,0.101
random,0.229766,0.283,0.051,0.11,0.39,0.125,0.041
random,0.229725,0.397,0.03,0.025,0.295,0.079,0.174
random,0.229604,0.364,0.026,0.034,0.511,0.052,0.012
random,0.229571,0.079,0.07,0.13,0.646,0.054,0.02
random,0.229557,0.246,0.197,0.097,0.284,0.149,0.027
random,0.229542,0.327,0.298,0.031,0.156,0.146,0.042
random,0.229499,0.198,0.445,0.007,0.056,0.142,0.152
random,0.229499,0.388,0.022,0.088,0.348,0.069,0.085
